id,start-date,submit-date,network,age-group,country,years-php,years-programming,education,numframeworks,fw-work-choice,fw-work-other,fw-work-reason-easy,fw-work-reason-community,fw-work-reason-tutorials,fw-work-reason-tested,fw-work-reason-features,fw-work-reason-forced,fw-work-reason-other,fw-work-reason-other-why,fw-personal-choice,fw-personal-other,fw-personal-reason-easy,fw-personal-reason-community,fw-personal-reason-tutorials,fw-personal-reason-tested,fw-personal-reason-features,fw-personal-reason-other,fw-personal-reason-other-why,contributes,laravel,yii1,yii2,zf1,zf2,symfony2,phalcon,aura,slim,silex,webiny,cake,fuel,kohana,ci,prado,phpixie,flight,simple,typo,nette,agavi,other
10929,"2015-03-02 14:20:29","2015-03-02 14:26:11",b4fcd9388d40bd33773366a122957adf9189c27d,2,"United States",12,15,1,5,"Zend Framework 2",,,,,,,,1,,"Zend Framework 2",,,,,,,1,,"Yes, I help with code (including tests)",,,,,1,,,,,,,,,,,,,,,,,,
10930,"2015-03-02 14:20:29","2015-03-02 14:23:45",b5771f2edbf98b4a76609bfa3c986c534ac241c9,3,France,8,10,5,3,Symfony2,,,1,,1,,,,,Symfony2,,,1,,1,,,,"Yes, I help with both code and documentation",,,,,,1,,,,,,,,,,,,,,,,,
10934,"2015-03-02 14:20:38","2015-03-02 14:23:44",d1e130edec73d9b18b91540ef52b123739b6cb74,3,Portugal,4,6,4,6,"Company Internal Framework",,,,,,,1,,,Laravel,,1,1,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,
10935,"2015-03-02 14:20:39","2015-03-02 14:23:23",d547168976520782eaa518597913635bd0bac47a,3,"United Kingdom",10,20,5,5,Symfony2,,,1,,1,1,,,,Symfony2,,,1,,1,1,,,No,,,,,,,,,,,,,,,,,,,,,,,
10937,"2015-03-02 14:20:44","2015-03-02 14:24:11",31391b59372f94a2ee48cddc3645117170ffaa8e,2,"United Kingdom",6,10,1,3,Laravel,,,1,,,1,,,,Laravel,,,1,,1,1,,,No,,,,,,,,,,,,,,,,,,,,,,,
10938,"2015-03-02 14:20:46","2015-03-02 14:32:13",a4bc53d58ec867208633c4b032db3fc8db647753,3,Poland,8,12,4,5,"Zend Framework 2",,,,,,,1,,,Silex,,1,,,,,1,"Silex gives freedom to set up directory structure related to project domain. User is not forced to  use project structure required by framework.On the other hand, lots of components are available to use.

The price of this flexibility is more work required for project setup than in full stack frameworks. However I still prefer such approach.",No,,,,,,,,,,,,,,,,,,,,,,,
10939,"2015-03-02 14:20:44","2015-03-02 14:27:20",bb8ef8bf7deefee7fffb5d40eb6742bbacfc02fc,3,Ukraine,3,20,1,3,CakePHP,,,,,1,,,,,CakePHP,,,,,,,1,"I have powerfull code-generation tools for CakePHP which do exactly what I like.",No,,,,,,,,,,,,,,,,,,,,,,,
10940,"2015-03-02 14:20:45","2015-03-02 14:53:26",9cdc771f7c0cb6cc0544a5543176761ed7b58a90,2,France,3,6,5,3,Laravel,,,,,,1,,,,Slim,,,,,,,1,"Slim is future-proof (PSR7 HTTP, etc)",No,,,,,,,,,,,,,,,,,,,,,,,
10944,"2015-03-02 14:20:50","2015-03-02 14:25:16",fbb676fd62da076bcb130ae088b68c5440916279,3,Germany,9,13,4,4,,"Don't use PHP anymore",,,,,,,1,"PHP as a language is horrible.",,"Don't use PHP anymore",,,,,,1,"PHP is a horrible language.",No,,,,,,,,,,,,,,,,,,,,,,,
10951,"2015-03-02 14:21:05","2015-03-02 14:25:09",424eb5db26a2c923b3dfe1f45d9baebbc850ff39,3,"United Kingdom",12,15,5,6,Laravel,,1,1,1,,1,,1,"In addition to the above, it's used as a default toolset by the PHP team",Laravel,,1,1,1,,,1,"As a means to improve on my skills for my day job",No,,,,,,,,,,,,,,,,,,,,,,,
10952,"2015-03-02 14:21:06","2015-03-02 14:22:44",53baeba1ec95c5527cdd5d498d02dbada3c377a4,3,France,15,15,1,4,Laravel,,,,,,1,,,,Laravel,,1,,,,1,,,No,,,,,,,,,,,,,,,,,,,,,,,
10960,"2015-03-02 14:21:23","2015-03-02 14:23:52",20abf704845848785d5cbb84ad8e5c933170464e,3,France,7,7,4,2,Symfony2,,,,,,1,,,,Symfony2,,,,,,1,,,No,,,,,,,,,,,,,,,,,,,,,,,
10967,"2015-03-02 14:21:30","2015-03-02 14:27:02",ddfc25d781d273f103d488758429664675859a9c,3,"United Kingdom",10,10,5,3,Webiny,,1,,,,1,,1,"I'm one of the authors of the framework - talk about being bias :)",Webiny,,1,,,,1,,,"Yes, I help with code (including tests)",,,,,,,,,,,1,,,,,,,,,,,,
10968,"2015-03-02 14:21:17","2015-03-02 16:03:23",10eedec9fcfa39ad7506db809d8fee3e689f2fea,3,Brazil,6,10,4,3,Silex,,1,,,,,,,,Symfony2,,1,1,1,1,1,,,No,,,,,,,,,,,,,,,,,,,,,,,
10969,"2015-03-02 14:21:18","2015-03-02 14:23:23",45fca18ae8d125598afdd450d7967a12ac68aaab,3,Denmark,10,10,1,2,Laravel,,1,1,1,1,,,,,Laravel,,1,1,1,1,,,,"Yes, I help with code (including tests)",1,,,,,,,,,,,,,,,,,,,,,,
10971,"2015-03-02 14:21:34","2015-03-02 14:24:31",8d48a1132cef54b799f52d7c7eec18f2a447c860,3,Argentina,5,9,5,4,Symfony2,,1,1,1,1,1,,,,Symfony2,,1,1,1,1,,,,No,,,,,,,,,,,,,,,,,,,,,,,
10974,"2015-03-02 14:21:22","2015-03-02 14:25:15",d27247577254bbab984fd20eb50c32da7f5c25f0,4,Germany,15,15,5,4,Symfony2,,,1,1,1,1,,,,Silex,,1,,,1,,,,No,,,,,,,,,,,,,,,,,,,,,,,
10975,"2015-03-02 14:21:36","2015-03-02 14:30:41",aea44a4a8f1d6d8fa7741e8579e1ab1ca5ca879f,3,Canada,8,15,1,5,Symfony2,,,1,1,1,1,,,,Symfony2,,,1,1,1,1,,,"Yes, I help with both code and documentation",,,,,,1,,,,,,,,,,,,,,,,,
10981,"2015-03-02 14:21:52","2015-03-02 14:24:15",fbae3a2911cd2b6615de1070060e4e7f0ef88a81,3,France,6,7,6,2,Symfony2,,,1,,,,,,,Symfony2,,,1,,,,,,"Yes, I help with code (including tests)",,,,,,1,,,,1,,,,,,,,,,,,,
10982,"2015-03-02 14:21:56","2015-03-02 14:25:48",4bc94dfe38cbe7ed0aff6c35c0ff70a7eee31bb8,3,France,7,7,6,2,Symfony2,,,,,,1,,,,Symfony2,,,1,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,
10983,"2015-03-02 14:21:40","2015-03-02 14:24:40",a252d6aaa8474b8ee7f86420eaa931bd4e83eab9,3,Netherlands,15,18,2,6,,"Depends on the project",1,1,,1,1,,,,,"Once again really depends on the project I'm doing",1,1,,,,,,"Yes, I help with both code and documentation",,,,,,,,,,1,,1,,,,,,,,,,,
10984,"2015-03-02 14:21:54","2015-03-02 15:24:40",1571a4994cc5d254e956bd731c5c092573f67a96,3,"United States",6,6,5,1,Symfony2,,,1,1,1,1,1,,,Symfony2,,,1,1,1,1,,,No,,,,,,,,,,,,,,,,,,,,,,,
10987,"2015-03-02 14:21:58","2015-03-02 14:23:54",76dac6ae94d894bd928b848bb58d149a970e49df,3,Spain,10,12,4,3,Symfony2,,,1,1,1,,,,,Symfony2,,,1,,1,,,,No,,,,,,,,,,,,,,,,,,,,,,,
10992,"2015-03-02 14:22:04","2015-03-02 14:28:12",e2ccfcef66df834cd3b7370626a40013c6e7f67b,2,Netherlands,4,4,1,3,Laravel,,1,,,,1,,1,"light and fast",Laravel,,1,,,,1,1,"Fast and light",No,,,,,,,,,,,,,,,,,,,,,,,
10993,"2015-03-02 14:21:53","2015-03-02 14:28:02",81df4e5760291603d195ca24f9a8bd0c25508cec,3,France,4,4,6,3,Symfony2,,1,1,1,,1,,,,Symfony2,,1,1,1,,1,,,No,,,,,,,,,,,,,,,,,,,,,,,
10994,"2015-03-02 14:22:09","2015-03-02 14:30:07",a4027b6f60a58179e0d01d9948f1c120a6fff633,2,France,8,10,6,2,"No Framework",,,,,,,1,,,Symfony2,,,1,,1,1,,,No,,,,,,,,,,,,,,,,,,,,,,,
10996,"2015-03-02 14:21:55","2015-03-02 14:24:52",11b3fe14b9aea55ca4f9e6bc14c056a8cb74c1a0,4,Belgium,18,28,6,5,"Zend Framework 1",,,1,,1,1,,,,"Zend Framework 1",,,1,,1,1,,,"Yes, I help with code (including tests)",,,,1,,,,,,,,,,,,,,,,,,,
11003,"2015-03-02 14:22:23","2015-03-02 14:24:32",dde004933dc8517218f01dc13837231ebc20d5d2,2,Germany,3,5,4,1,Symfony2,,1,1,1,1,1,,,,Symfony2,,1,1,1,1,1,,,No,,,,,,,,,,,,,,,,,,,,,,,
11008,"2015-03-02 14:22:28","2015-03-02 14:24:13",68d1a3cf43bb77d3423197cf1c548eb3e7f44cfe,3,"United Kingdom",10,14,1,2,Symfony2,,,,,1,,,,,Symfony2,,,,,1,,,,"Yes, I help with code (including tests)",1,,,,,1,,,1,1,,,,,,,,,,,,,
11014,"2015-03-02 14:22:32","2015-03-02 14:32:39",3fae2a7fe18f97f3fa8a768242ca19d123eab6d1,3,Slovakia,6,6,1,3,Nette,,1,1,,,,,1,DIOOP,Nette,,1,1,,,,1,"DI
OOP",No,,,,,,,,,,,,,,,,,,,,,,,
11017,"2015-03-02 14:22:37","2015-03-02 14:25:15",c72f11cbab28c91b0eecafa471199e71f3639ee2,3,Lithuania,14,22,1,5,Symfony2,,1,1,1,1,1,,,,Symfony2,,1,1,1,1,1,,,"Yes, I help with code (including tests)",,,,,,1,,,,,,,,,,,,,,,,,
11024,"2015-03-02 14:22:46","2015-03-02 14:29:49",90d16067fcf99932fa2afa8e336b49f18b929086,3,France,2,5,1,1,Symfony2,,,1,1,,,,,,Symfony2,,,1,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,
11028,"2015-03-02 14:22:48","2015-03-02 14:33:51",634618b0cc878bda44b5e3eb175b2a02a6cd2464,3,Luxembourg,10,15,5,5,Symfony2,,,,,1,,,,,Symfony2,,,,,,1,,,"Yes, I help with code (including tests)",,,,,,1,,,,,,,,,,,,,,,,,
11032,"2015-03-02 14:22:56","2015-03-02 14:25:03",b703bf47879219e52200b24c4816795f5d823f8f,3,France,10,10,6,5,Symfony2,,,1,,,,,,,Symfony2,,,1,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,
11034,"2015-03-02 14:22:56","2015-03-02 14:26:19",213277a70c4ab4f126a64ce48e418bd77be776af,3,"United States",11,13,5,4,"Company Internal Framework",,,,,,,1,,,Silex,,1,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,
11037,"2015-03-02 14:22:59","2015-03-02 14:28:16",0f65d09343e511aa06a19079ab1a42cb8f48b24f,2,Germany,7,7,2,3,"We use a CMS for everything",,,,,,,1,,,Laravel,,1,1,,,1,,,No,,,,,,,,,,,,,,,,,,,,,,,
11043,"2015-03-02 14:23:10","2015-03-02 14:26:45",4066379e0779029e6ece6151a54653da114de8bc,3,France,11,11,1,4,Symfony2,,1,1,,1,1,,,,Symfony2,,1,1,,1,1,,,"Yes, I help with code (including tests)",,,,,,1,,,,,,,,,,,,,,,,,
11045,"2015-03-02 14:23:09","2015-03-02 14:28:27",f26bab531b0bc4ab717aee5c946a980557e66f03,4,Netherlands,10,12,5,2,Laravel,,1,,,,1,,,,Laravel,,1,,,,1,,,No,,,,,,,,,,,,,,,,,,,,,,,
11063,"2015-03-02 14:23:18","2015-03-02 14:27:45",a7445c4dd0db18698a2d3202e2a0498329ff3a85,4,"United Kingdom",16,16,1,5,Symfony2,,1,1,,,,,1,"Unlike other frameworks I have used, I have always found a way to extend or customise the behaviour of SF2 to match the needs of my clients",Symfony2,,1,1,,,,1,"Same as above, plus I like it's architecture",No,,,,,,,,,,,,,,,,,,,,,,,
11065,"2015-03-02 14:23:35","2015-03-02 14:26:33",7e3686823fee532d2f1d7a7404b5b59d1eea9546,3,Serbia,8,8,1,6,"Zend Framework 1",,,,,,,,1,"Legacy application.","Zend Framework 2",,,1,,,,,,"Yes, I help with both code and documentation",,,,1,1,,,,,,,,,,,,,,,,,,
11077,"2015-03-02 14:23:52","2015-03-02 14:45:54",b3ced61f3972eda0468f3330938ea6f5f9e552d8,1,Nigeria,12,15,1,4,Phalcon,,,,,,1,1,,,Kohana,,,,,1,,,,"Yes, I help with code (including tests)",,,,,,,,,,,,,,,1,,,,,,,,
11083,"2015-03-02 14:23:59","2015-03-02 14:25:48",2c510db9747307c73dd5fc3463618c3790683247,3,Germany,10,12,4,7,"Zend Framework 1",,,,,,,1,,,Laravel,,1,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,
11085,"2015-03-02 14:24:07","2015-03-02 14:27:03",29ccc65709413fc2efb9d2fec0d770bafee8ab1b,3,"Czech Republic",16,18,6,4,Symfony2,,,1,,,1,,,,Symfony2,,1,1,1,1,1,,,No,,,,,,,,,,,,,,,,,,,,,,,
11095,"2015-03-02 14:24:16","2015-03-02 14:30:11",10f4766d905e05bc68933fb7f23408e89361d54b,2,"Czech Republic",7,8,4,4,Symfony2,,,,1,1,1,,1,"Heavy use of Interface, Component design, Huge docs",Symfony2,,,,1,1,1,,,No,,,,,,,,,,,,,,,,,,,,,,,
11099,"2015-03-02 14:24:36","2015-03-02 14:27:25",b53cac1d6cab2894b22a88095a6580d170066fc1,3,France,10,14,5,3,Symfony2,,1,1,,,,,,,Symfony2,,1,1,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,
11101,"2015-03-02 14:24:35","2015-03-02 14:26:33",bdde7581ab2f828e6f4ab06b6c7c5399d8bf43cf,3,Germany,8,20,6,4,Symfony2,,1,1,,,1,,,,Symfony2,,1,1,,,1,,,No,,,,,,,,,,,,,,,,,,,,,,,
11102,"2015-03-02 14:24:35","2015-03-02 14:26:08",d94a51f3605d92c9e5baf4406bdbbf793fbfb2f7,3,Spain,5,6,5,2,Symfony2,,,1,,,,,,,Symfony2,,,1,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,
11103,"2015-03-02 14:24:35","2015-03-02 14:26:54",9fa44815d76d3d3994e1b466dd651eb4ca87dfe8,3,"Russian Federation",5,6,7,2,"Yii 2",,1,1,1,1,,,,,"Yii 2",,1,1,1,1,,,,No,,,,,,,,,,,,,,,,,,,,,,,
11111,"2015-03-02 14:24:50","2015-03-02 14:27:56",206df8edb4e0e0e52c013f4941941ffed44a0339,2,France,2,3,6,1,Symfony2,,1,1,,1,,,,,Symfony2,,1,,,1,1,,,"Yes, I help with code (including tests)",,,,,,1,,,,,,,,,,,,,,,,,
11114,"2015-03-02 14:24:39","2015-03-02 15:54:01",eb4022de03efceb1f5875867d8bd611a528f29d4,4,"United States",15,17,4,7,Laravel,,1,1,1,,,,,,Laravel,,1,1,1,,,,,No,,,,,,,,,,,,,,,,,,,,,,,
11120,"2015-03-02 14:24:53","2015-03-02 14:28:36",31099407a6cc064e868337ba7da43db8ef5adfe4,4,Brazil,19,21,4,3,"Zend Framework 2",,,1,,1,1,,,,"Zend Framework 2",,,1,,1,1,,,"Yes, I help with both code and documentation",,,,,1,,,,,,,,,,,,,,,,,,
11124,"2015-03-02 14:25:01","2015-03-02 14:28:03",6f4d738d94001af61788f798e2417de296013edc,3,"United Kingdom",9,12,1,4,"Zend Framework 2",,,,,,,,1,"Enterprise level popularity and support/stability as a more LT choice.",Laravel,,1,1,1,1,1,,,No,,,,,,,,,,,,,,,,,,,,,,,
11126,"2015-03-02 14:25:02","2015-03-02 14:28:59",9d43cb85ae021da9b4b4482755c9785eab52100c,2,Serbia,8,8,4,3,Symfony2,,,,,1,1,,,,Laravel,,1,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,
11131,"2015-03-02 14:25:06","2015-03-02 14:30:57",5ebcf38d4644b6f135134b646683486bff39a031,3,"Russian Federation",10,15,4,7,Symfony2,,1,1,1,1,1,1,,,Symfony2,,1,1,1,1,1,,,No,,,,,,,,,,,,,,,,,,,,,,,
11134,"2015-03-02 14:25:23","2015-03-02 14:30:47",4a1f5c9594f1fd56b3f0108daaf752871e304f5f,3,Netherlands,10,15,1,1,"Company Internal Framework",,1,,,1,1,1,1,,Symfony2,,1,1,1,1,1,,,"Yes, I help with code (including tests)",,,,,,1,,,,,,,,,,,,,,,,,
11136,"2015-03-02 14:25:28","2015-03-02 14:27:48",ca949816aa52dfc22040c41a3af5104f1e54cb09,3,Romania,10,15,1,4,Laravel,,1,1,1,1,1,,,,Laravel,,1,1,1,1,1,,,No,,,,,,,,,,,,,,,,,,,,,,,
11137,"2015-03-02 14:25:26","2015-03-02 14:28:42",89da55b48cba9f7689ebaec82668360393059600,3,"Czech Republic",15,17,1,4,Symfony2,,1,1,,1,1,,,,Symfony2,,1,1,,1,1,,,No,,,,,,,,,,,,,,,,,,,,,,,
11143,"2015-03-02 14:25:24","2015-03-02 14:29:07",0f8e9df41a55008b25c7aa224af18d893a3070ee,3,France,6,8,6,3,Symfony2,,1,1,1,1,1,1,,,Symfony2,,1,1,1,1,1,,,"Yes, I help with both code and documentation",,,,,,1,,,,1,,,,,,,,,,,,,
11147,"2015-03-02 14:25:49","2015-03-02 14:28:33",ab28fafba6ff56fdf8ebce356299520c346679c3,2,Belarus,8,8,6,5,Symfony2,,,1,1,1,,,1,"OOP, AOP, EOP, DI everywhere",Symfony2,,,1,,,,,,"Yes, I help with both code and documentation",,,,,,1,,,,,,,,,,,,,,,,,
11152,"2015-03-02 14:26:03","2015-03-02 14:57:38",e7a462a59cd3854593c5ee7c2f894452e3c50fe5,4,France,10,10,5,4,Symfony2,,,,,,,,1,"Compare to others framework symfony2 never hide behind proxies or facades. So I can say that it increase my coding skills by exposing everything and learning when i need to see the inside of librairies. Lavarel hide everything with facades. Zend framework commonly hide logic with some magic. Does this means that if i'm not a framework developper i can't understand ? Or worst facades may hide code uglyness...",Symfony2,,,,1,,1,,,No,,,,,,,,,,,,,,,,,,,,,,,
11157,"2015-03-02 14:26:24","2015-03-02 14:31:20",66e4b54c895f348778e35014056c0f9c9d882537,4,Poland,10,20,6,4,Symfony2,,1,1,1,1,1,,,,"Zend Framework 2",,1,1,1,1,1,,,No,,,,,,,,,,,,,,,,,,,,,,,
11160,"2015-03-02 14:26:32","2015-03-02 14:30:22",d3d19e08645039ff936a01d43cff84be54b375d8,4,Germany,17,25,1,3,Symfony2,,,,,1,,,,,Symfony2,,,,,1,,,,No,,,,,,,,,,,,,,,,,,,,,,,
11162,"2015-03-02 14:26:40","2015-03-02 14:29:33",3d757865a3cf6d123026739354fd04ad7a837f79,2,"Czech Republic",7,13,1,1,Nette,,1,,,1,,,,,Nette,,1,,,1,,,,No,,,,,,,,,,,,,,,,,,,,,,,
11165,"2015-03-02 14:26:55","2015-03-02 14:29:30",8bac5f75488ae54877d8cf052e09fe1e17641706,3,Germany,10,12,5,5,Laravel,,1,1,1,,,,,,Laravel,,1,1,1,,1,,,"Yes, I help with documentation (official docs only)",1,,,,,,,,,,,,,,,,,,,,,,
11166,"2015-03-02 14:26:59","2015-03-02 14:37:34",97a20d1fac0e69bf95c8cc5459b2ee94a89b7d0b,3,Denmark,5,13,5,3,Laravel,,1,1,1,,1,,,,Laravel,,1,1,1,,1,1,"I really love the flexibility of being able to use the structure and architecture you want, while still being able to leverage the powerful build in features of Laravel.",No,,,,,,,,,,,,,,,,,,,,,,,
11167,"2015-03-02 14:27:04","2015-03-02 14:29:31",5df858906f64926269a6525f3b3f128dbb9497df,2,"United Kingdom",5,5,4,3,"We use a CMS for everything",,1,1,1,1,1,1,,,Symfony2,,,,,,,1,"Simple design, extensible, easy to use.",No,,,,,,,,,,,,,,,,,,,,,,,
11171,"2015-03-02 14:27:17","2015-03-02 14:29:12",ee38e2a75e81b4bb509769e8379e0b0fa52b0766,3,Poland,8,9,4,4,Symfony2,,1,1,1,1,1,,,,Symfony2,,1,1,1,1,1,,,"Yes, I help with code (including tests)",,,,,1,1,,,,1,,,,,,,,,,,,,
11176,"2015-03-02 14:27:35","2015-03-02 14:30:53",c615847a1a33956047ce886ea17638761acc0276,2,Slovakia,8,10,5,3,Nette,,,,,,,,1,"It was here when i got here :)",Symfony2,,,1,1,1,1,,,"Yes, I help with code (including tests)",,,,,,1,,,,,,,,,,,,,,,,,
11182,"2015-03-02 14:27:49","2015-03-02 14:30:08",b43226db4e09504b0038e66c1d7ef233b336c716,3,Germany,14,16,1,4,"Typo 3",,,,,1,1,,,,"Typo 3",,,,,1,1,,,"Yes, I help with code (including tests)",,,,,,,,,,,,,,,,,,,,1,,,
11189,"2015-03-02 14:28:03","2015-03-02 14:32:41",d2f11016d9e48ea5897861635a575a45d8cd1c0d,4,Germany,15,17,4,2,Symfony2,,1,,,,,,,,Symfony2,,1,,,1,,,,No,,,,,,,,,,,,,,,,,,,,,,,
11194,"2015-03-02 14:28:14","2015-03-02 14:30:34",582deeb647aa88c53fe2753ccf016778460cb0a0,3,France,14,15,5,3,Symfony2,,,,,,,1,,,Symfony2,,,,,,,1,,No,,,,,,,,,,,,,,,,,,,,,,,
11196,"2015-03-02 14:28:25","2015-03-02 14:30:44",489afaf63e6b06afc70ce483f9678e7ff4597091,3,France,5,8,6,10,Symfony2,,1,1,1,1,1,,,,Symfony2,,1,1,1,1,1,,,"Yes, I help with code (including tests)",,,,,,1,,,,,,,,,,,,,,,,,
11200,"2015-03-02 14:28:20","2015-03-02 14:32:00",20e6a06a210a0ee793944bc6fc69197ff3cc0f1a,4,Spain,10,15,5,3,Laravel,,1,,,,,,,,Laravel,,1,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,
11203,"2015-03-02 14:28:38","2015-03-02 14:31:54",c7ca804e480b34da5a9292e08a472d278aafd81f,3,Germany,11,18,2,4,Symfony2,,,1,,1,1,,,,Symfony2,,,1,,1,1,,,"Yes, I help with code (including tests)",,,,,,1,,,,,,,,,,,,,,,,,
11205,"2015-03-02 14:28:41","2015-03-02 14:33:59",e077aa0de58348bbe684cbafc5eed96d37e7bde5,3,Serbia,8,9,4,3,"Zend Framework 2",,,,1,1,,,,,"Zend Framework 2",,,,,1,,,,No,,,,,,,,,,,,,,,,,,,,,,,
11206,"2015-03-02 14:28:41","2015-03-02 14:41:52",8e5140fc70934932c841d04bd970e46838eca019,3,Argentina,3,5,5,2,Symfony2,,,,,,,1,,,Laravel,,1,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,
11209,"2015-03-02 14:28:52","2015-03-02 14:34:20",4a30615d7429d5c9c217bf29350b8e8bc408f097,4,Serbia,9,11,6,3,"No Framework",,,,,,,1,,,CakePHP,,,1,,,1,,,No,,,,,,,,,,,,,,,,,,,,,,,
11210,"2015-03-02 14:28:56","2015-03-02 14:31:36",97a037f78a87af696c23079a419cee64c6a5b5f6,3,France,7,10,5,3,"Zend Framework 2",,,1,,1,1,,,,"Zend Framework 2",,,1,,1,1,,,No,,,,,,,,,,,,,,,,,,,,,,,
11212,"2015-03-02 14:28:56","2015-03-02 14:33:10",c51450ab2c9a0379affc9f41c0b620d97e6b2990,4,France,15,16,2,4,"Company Internal Framework",,,,,,,1,,,Laravel,,1,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,
11213,"2015-03-02 14:28:58","2015-03-02 14:31:17",d3be2e001656d34b21a038bdd1b59af8a0d41c79,3,Italy,8,10,6,2,Symfony2,,,1,1,1,1,,,,Symfony2,,,1,1,1,1,,,"Yes, I help with code (including tests)",,,,,,1,,,,,,,,,,,,,,,,,
11218,"2015-03-02 14:28:55","2015-03-02 14:32:52",316db012496cdfca490fbc2a6365813030c71ce6,3,Belgium,10,10,5,1,"Zend Framework 1",,,,,,,,1,"one senoir implemented it and now we are stuck because there is no time/money to refactor to x other framework",Symfony2,,,,,1,,,,No,,,,,,,,,,,,,,,,,,,,,,,
11219,"2015-03-02 14:29:11","2015-03-02 14:31:52",3765d51d07e17aaca20c337791e3b617035e2207,3,"United Kingdom",4,4,5,3,,"Symfony 1.4",,1,,1,1,,,,Symfony2,,1,,1,,,,,No,,,,,,,,,,,,,,,,,,,,,,,
11220,"2015-03-02 14:28:57","2015-03-02 14:31:33",4d1558bb3385ccd71994294bc3098ee4e8c8eee2,2,Netherlands,7,8,4,5,Symfony2,,,1,,1,1,,,,Symfony2,,1,1,,1,1,,,No,,,,,,,,,,,,,,,,,,,,,,,
11223,"2015-03-02 14:29:18","2015-03-02 14:31:51",1062313fa2d3f53cce519e5e2408dabe149a9666,3,France,10,12,6,5,Symfony2,,,1,1,1,,,,,Symfony2,,,1,1,1,,,,"Yes, I help with code (including tests)",,,,,,1,,,,,,,,,,,,,,,,,
11225,"2015-03-02 14:29:23","2015-03-02 14:34:02",5d4cf59b83ea7dff6b083ce1d67f50625b091051,2,Ukraine,6,6,5,3,CodeIgniter,,,,,,,1,,,Symfony2,,,1,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,
11234,"2015-03-02 14:29:42","2015-03-02 14:33:43",2fa2a6d6ef5ecfac1dfa4102a5f33345a30033e5,3,"United Kingdom",10,15,4,5,Symfony2,,,1,1,1,1,,,,Symfony2,,,1,1,1,1,,,No,,,,,,,,,,,,,,,,,,,,,,,
11236,"2015-03-02 14:29:54","2015-03-02 14:33:04",377ab1a778333b82c1a28f8af7fd829d350ba198,4,"United Kingdom",8,9,5,2,Symfony2,,1,,,,1,1,,,Symfony2,,1,,,,1,,,No,,,,,,,,,,,,,,,,,,,,,,,
11241,"2015-03-02 14:30:17","2015-03-02 14:33:48",d93e219b2809a667ff04ee558253d7ae7b40174a,2,Romania,5,5,5,8,Laravel,,1,1,1,1,,,,,Laravel,,1,1,1,1,,,,No,,,,,,,,,,,,,,,,,,,,,,,
11244,"2015-03-02 14:30:05","2015-03-02 14:34:01",fedd2fbfdba397bda9c2363b5dec4d82004bd67c,3,"United Kingdom",10,11,1,5,Symfony2,,,,,,,,1,"I have been a Symfony developer since 1.2",Symfony2,,,,,,1,,,No,,,,,,,,,,,,,,,,,,,,,,,
11247,"2015-03-02 14:30:33","2015-03-02 14:37:48",cf67426f2594a65150fd93578b200558fc02925d,3,Netherlands,13,17,4,6,Silex,,,,,,,,1,"Few assumptions or forced architecture, very flexible.","No Framework",,,,,,,1,"I use components, not frameworks. The application architecture shouldn't be forced by something other than the application's demands.",No,,,,,,,,,,,,,,,,,,,,,,,
11248,"2015-03-02 14:30:45","2015-03-02 14:55:55",0d164be580f9e3b9b02d01284c108d25886446ce,3,Italy,4,4,4,3,Symfony2,,,1,1,1,1,,,,,"Ruby on Rails",1,1,1,1,1,,,"Yes, I help with both code and documentation",,,,,,1,,,,,,,,,,,,,,,,,"Ruby on Rails"
11251,"2015-03-02 14:30:51","2015-03-02 14:41:59",2ee2bdad573063766ccfc728917ca8a7f173a329,4,"United States",14,16,5,4,Symfony2,,,,,,,1,,,Laravel,,1,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,
11256,"2015-03-02 14:30:55","2015-03-02 14:33:07",fc644a50affdfac5ee1f66269befd4a2413249de,2,"United Kingdom",10,10,5,3,Laravel,,,1,,,,,,,Slim,,,,,,,1,"The ability to customise and that it doesn't force you down any particular file structure.",No,,,,,,,,,,,,,,,,,,,,,,,
11261,"2015-03-02 14:31:08","2015-03-02 14:35:28",59fa077fe10937456868c3d8fa6dd8cb2258188d,3,"Czech Republic",7,12,5,2,Nette,,,1,,,,,,,Nette,,,1,,,,,,"Yes, I help with both code and documentation",,,,,,,,,,,,,,,,,,,,,1,,
11268,"2015-03-02 14:31:32","2015-03-02 14:35:21",ad80990e962fdad58c34bc02a7b1e215daeff4dd,2,Belarus,7,7,1,3,Symfony2,,,,,,1,,,,Symfony2,,,,,,1,,,No,,,,,,,,,,,,,,,,,,,,,,,
